judge,metric,mean,ci_low,ci_high
deepseek-coder:6.7b,functionality_correctness,-0.05,-0.175,0.075
deepseek-coder:6.7b,requirement_summary_correctness,0.075,-0.125,0.25
deepseek-coder:6.7b,risk_usefulness,0.125,-0.075,0.325
deepseek-coder:6.7b,unsupported_claim_severity,0.0,-0.175,0.175
deepseek-coder:6.7b,overall_triage_utility,0.15,-0.05,0.35
mistral:7b,functionality_correctness,-0.35,-0.625,-0.125
mistral:7b,requirement_summary_correctness,0.0,0.0,0.0
mistral:7b,risk_usefulness,0.0,-0.175,0.175
mistral:7b,unsupported_claim_severity,0.075,0.0,0.175
mistral:7b,overall_triage_utility,0.0,-0.075,0.075
